,1982/1/1,1983/1/1,1984/1/1,1985/1/1,1986/1/1,1987/1/1,1988/1/1,1989/1/1,1990/1/1,1991/1/1,1992/1/1,1993/1/1,1994/1/1,1995/1/1,1996/1/1,1997/1/1,1998/1/1,1999/1/1,2000/1/1,2001/1/1,2002/1/1,2003/1/1,2004/1/1,2005/1/1,2006/1/1,2007/1/1,2008/1/1,2009/1/1,2010/1/1,2011/1/1,2012/1/1,2013/1/1,2014/1/1,2015/1/1,2016/1/1,2017/1/1,2018/1/1,2019/1/1,2020/1/1,2021/1/1,2022/1/1
PAD District 1,166.3141,142.5006,140.9056,136.9711,126.257,139.2608,142.2113,139.5752,147.6544,133.8405,140.8755,135.2955,129.474,138.674,135.444,135.444,154.26,154.26,161,154.99,157.66,157.0687,166.34,163.8,162.65,165.7575,166.185,158.27,125.73,120.5,101.02,126.52,126.85,123.65,124.55,118.15,122.35,122.4,88.9,81.78,81.78
PAD District 2,375.2952,327.3402,328.065,307.5493,316.5631,318.6743,317.4143,326.1,327.54,332.76,336.22,336.48,330.52,343.1265,344.4365,344.4365,361.9065,361.9065,361.9404,363.738,342.8053,351.84,352.561,356.9061,358.264,358.172,365.255,365.4,365.54,364.77,362.52,350.06,377.5545,381.83,390.02,390.6555,407,407.5515,415.8065,415.0265,415.8965
PAD District 3,727.8698,679.1374,676.0204,668.6624,680.5601,685.5107,684.1107,682.2597,673.5647,676.6807,688.835,672.245,677.4,688.29,698.905,698.905,738.195,738.195,754.6242,755.9485,758.308,770.7948,788.133,806.8034,746.4286,798.9609,814.8279,835.6502,839.1842,851.5919,854.8126,872.8901,915.4029,921.6967,951.4745,969.5371,976.2196,984.0599,994.8235,940.68,951.661
PAD District 4,60.2505,53.7405,52.8605,54.5355,51.2405,51.7005,52.6005,52.6875,53.9875,53.9875,49.9875,50.9375,50.9575,50.7675,52.0175,52.0175,52.812,52.812,53.0755,54.3476,56.737,57.77,58.215,58.755,59.555,59.835,60.33,61.93,60.955,62.03,62.33,62.985,63.095,64.695,66.515,68.243,67.313,67.715,68.8614,64.7064,65.3564
PAD District 5,280.6283,293.346,285.917,268.34,289.23,298.9,305.46,300.56,303.515,298.609,280.63,282.73,282.1245,287.31,285.9855,285.9855,298.9755,298.9755,300.857,302.993,309.1198,310.9235,310.6844,314.3645,315.1938,317.0538,315.9818,310.1048,293.6102,294.8105,293.7465,265.1107,290.1176,284.8871,283.9541,284.8271,283.8071,287.5071,286.5071,265.9571,264.2071
